fav_grp,popl_by_co_yn,reason,yr_listened,gender_pref,daily_MV_hr,daily_music_hr,watch_MV_yn,obsessed_yn,news_medium,pursuit,time_cons_yn,life_chg,pos_eff,yr_merch_spent,money_src,concert_yn,crazy_ev,age,country,job,gender,num_gr_like,bts_vs_others
bts,3,3,1.5,3,2.5,5,1,3,1,3,2,1,1,75,1,1,2,18,2,1,0,1,1
bts,3,3,3.5,3,2.5,3,1,3,1,3,1,1,2,50,2,3,2,18,2,2,0,1,1
"bts,monsta x",3,3,4,3,2.5,3,1,3,2,3,2,1,2,75,2,1,0,18,6,2,0,2,1
bts,3,3,3.5,3,3.5,5,1,3,1,3,2,1,1,75,2,1,0,24,1,2,0,1,1
bts,1,3,3.5,3,2.5,5,1,3,1,1,1,1,1,150,3,3,0,18,1,2,0,1,1
"bts,exo,blackpink,monsta x,iâ€™m a multi-stan",3,3,4,3,1,3,1,3,3,1,2,1,2,50,2,3,2,18,1,2,0,5,1
bts,4,3,3.5,3,1,5,1,3,1,2,1,3,2,50,3,3,0,12,3,2,0,1,1
bts,1,3,4,3,1,3,1,3,1,3,2,0,1,50,3,1,0,18,1,2,0,1,1
"nct,ateez",3,3,3.5,3,2.5,5,1,3,1,3,1,3,2,50,3,3,1,12,2,2,0,2,0
bts,1,3,4,3,1,10,1,3,1,3,2,0,1,0,2,3,0,18,1,2,0,1,1
bts,4,3,4,3,1,5,1,3,2,3,2,1,1,0,4,3,0,12,1,2,0,1,1
"bts,exo,blackpink,stray kids,nct,(g)i-dle,red velvet",3,3,1.5,3,1,3,1,3,1,3,1,1,1,75,3,1,2,18,2,2,0,7,1
jbj,3,3,4,3,1,3,1,3,2,3,2,0,2,50,2,3,0,18,1,2,0,1,0
"bts,blackpink",3,3,1.5,3,1,.5,1,3,1,3,2,1,2,0,3,2,0,18,1,2,0,2,1
girl's day,3,3,4,3,1,5,1,3,1,3,1,0,2,75,1,1,2,24,1,2,1,1,0
bts,4,3,1.5,3,2.5,3,1,3,1,1,2,1,1,75,3,1,2,18,2,2,0,1,1
bts,3,3,1.5,3,1,3,1,3,2,3,2,1,2,75,3,3,1,12,1,2,0,1,1
"bts,exo,monsta x,stray kids",1,3,3.5,3,1,10,1,3,1,3,2,1,1,500,3,3,0,12,1,2,0,4,1
"bts,exo,stray kids,got7,,shinee",1,3,4,3,1,5,1,3,1,3,1,3,2,50,3,1,1,18,1,2,0,6,1
"bts,exo,monsta x",3,3,3.5,3,1,3,1,3,1,3,2,1,2,50,2,1,0,18,1,2,0,3,1
"bts,monsta x,a.c.e,nct,shinee,berrygood",3,3,3.5,3,2.5,3,1,3,1,3,1,1,2,50,3,2,1,18,4,2,0,6,1
"bts,loona",3,3,3.5,3,2.5,3,1,3,1,3,1,1,2,50,3,3,0,18,6,2,0,2,1
bts,2,3,1.5,3,1,3,1,3,1,3,2,1,1,75,4,3,1,18,7,2,0,1,1
seventern,4,3,3.5,3,3.5,5,1,3,1,3,2,1,1,150,2,1,2,18,3,2,0,1,0
"bts,exo,blackpink,monsta x,there's too many artists who are my favorite",1,3,1.5,3,2.5,5,1,3,1,3,1,3,1,50,3,3,1,12,1,2,0,5,1
"bts,loona",3,3,4,3,1,3,1,3,3,1,3,1,2,500,2,2,0,18,8,1,0,2,1
"seventeen,loona",3,3,1.5,3,3.5,10,1,3,1,3,2,1,1,75,2,3,0,18,2,2,0,2,0
shinee,3,3,4,3,2.5,5,1,3,1,3,2,1,2,50,2,3,0,24,1,2,0,1,0
"bts,monsta x,ateez,loona",3,3,3.5,3,2.5,5,1,3,2,3,2,0,1,150,3,1,0,18,1,2,0,4,1
"bts,blackpink",3,3,3.5,3,2.5,5,1,3,1,3,2,1,1,50,2,3,1,18,8,2,0,2,1
"nct,ateez",3,3,3.5,3,3.5,5,1,3,1,3,2,3,1,150,3,3,1,18,2,1,0,2,0
bts,1,3,3.5,3,2.5,5,1,3,1,3,2,1,2,50,3,3,0,18,1,2,0,1,1
girls' generation (snsd),1,3,4,3,4.5,10,1,3,1,3,2,4,2,75,3,3,1,18,1,2,1,1,0
bts,3,3,3.5,3,2.5,3,1,3,1,3,2,4,1,50,3,1,2,18,3,2,0,1,1
stray kids,1,3,4,3,2.5,3,1,3,2,3,2,1,0,500,2,1,0,12,3,2,0,1,0
bts,4,3,4,3,1,3,1,3,1,3,2,1,1,50,1,3,0,18,2,1,0,1,1
"bts,monsta x,stray kids,oneus,ateez,astro",3,3,4,3,2.5,5,1,3,1,3,2,1,0,150,3,1,2,18,1,2,0,6,1
monsta x,3,3,4,3,2.5,3,1,3,1,1,2,1,1,75,2,3,0,24,1,2,0,1,0
"bts,monsta x",3,3,4,3,1,10,1,3,1,3,2,0,0,50,1,1,0,18,1,1,0,2,1
"bts,exo,monsta x,ateez,nct,got7 too many to count",1,3,6,3,2.5,10,1,3,1,3,2,1,1,75,3,1,2,12,1,2,0,6,1
"bts,exo,blackpink,monsta x,nct (all units),day6,got7,the boyz",3,3,3.5,3,2.5,5,1,3,1,3,3,4,0,50,2,1,1,18,1,2,0,8,1
exo,3,3,4,3,1,5,1,3,1,3,1,3,2,150,2,1,2,24,1,1,0,1,0
seventeen,1,3,7,3,1,3,1,3,1,3,2,0,2,50,3,2,0,18,1,2,2,1,0
bts,3,3,4,3,2.5,10,1,3,1,3,1,1,1,0,2,2,0,18,1,2,0,1,1
bts,3,3,3.5,3,1,.5,1,3,1,3,2,1,1,50,1,2,0,24,1,1,0,1,1
"bts,blackpink",4,3,1,3,1,5,1,3,1,3,2,3,1,0,3,3,1,18,1,2,0,2,1
bts,2,3,1.5,3,2.5,.5,1,3,2,3,2,1,1,0,3,3,2,12,2,2,0,1,1
bts,4,3,3.5,3,3.5,3,1,3,1,3,1,3,1,500,2,1,1,29,3,2,0,1,1
bts,1,3,1.5,3,1,10,1,3,1,3,2,0,1,50,2,3,0,18,1,1,0,1,1
"bts,exo,i like many other group both not well known,well known",3,3,4,3,2.5,5,0,3,3,3,2,1,0,0,4,2,0,18,1,2,0,4,1
loona,3,3,1.5,3,1,3,1,3,1,3,2,1,1,0,2,1,0,18,1,2,0,1,0
bts,4,3,4,3,2.5,5,1,3,1,1,2,3,0,50,2,3,0,18,5,2,0,1,1
wanna one,3,3,1.5,3,3.5,10,1,3,1,3,1,3,1,500,4,1,1,18,8,2,0,1,0
bts,3,3,1.5,3,2.5,3,1,3,1,3,1,1,2,75,4,1,2,18,4,2,0,1,1
"bigbang,got7,all the above",3,3,4,3,1,10,1,3,3,1,2,0,1,500,3,1,0,24,2,2,0,3,0
bts,3,3,1.5,3,1,3,1,3,2,3,2,4,1,75,3,3,2,12,6,2,0,1,1
bts,1,3,4,3,1,10,0,3,1,3,2,0,1,0,4,2,0,24,4,2,0,1,1
"bts,exo,blackpink",3,3,4,3,1,5,1,3,2,3,2,1,1,50,1,1,0,24,1,2,0,3,1
blackpink,2,3,3.5,3,1,3,1,3,1,3,1,4,2,75,3,3,1,18,5,2,1,1,0
g idle,4,3,1.5,3,1,3,1,3,3,3,2,0,0,50,4,3,0,18,6,2,1,1,0
bts,3,3,3.5,3,2.5,3,1,3,1,3,2,1,2,150,3,3,0,12,1,2,0,1,1
tvxq,3,3,4,3,1,3,1,3,3,3,2,1,1,0,1,2,0,24,1,1,0,1,0
bts,3,3,3.5,3,1,3,1,3,1,3,2,1,1,0,3,3,1,18,6,2,0,1,1
bts,1,3,1.5,3,1,3,1,3,2,3,2,1,2,150,3,1,0,18,1,2,0,1,1
bts,1,3,4,3,3.5,5,1,3,3,3,2,3,1,75,3,3,1,18,1,unemployed,0,1,1
bts,1,3,4,3,1,5,1,3,1,3,1,3,1,75,2,1,2,18,1,2,0,1,1
exo,3,3,7,3,1,5,1,3,1,3,2,0,1,0,4,2,1,12,1,2,0,1,0
"monsta x,got7,stray kids,treasure13,itzy,day6,twice",2,3,3.5,3,4.5,5,1,3,1,2,2,3,1,0,3,3,0,18,8,2,0,7,0
stray kids,4,3,3.5,3,2.5,5,1,3,1,1,2,3,1,75,3,3,0,18,8,2,0,1,0
bts,3,3,3.5,3,2.5,5,1,3,1,3,2,3,2,75,3,3,2,18,1,2,0,1,1
twice,3,3,3.5,3,1,.5,1,3,3,3,1,0,2,50,2,1,0,24,1,2,1,1,0
bts,3,3,1.5,3,1,5,1,3,2,3,1,3,1,50,3,3,2,18,1,2,0,1,1
bts,3,3,3.5,3,1,5,1,3,2,3,2,3,1,50,2,3,0,18,8,2,0,1,1
"loona,iz*one,dreamcatcher",3,3,1.5,3,1,5,1,3,3,3,2,1,2,75,2,3,0,18,6,2,0,3,0
bts,4,3,3.5,3,1,5,1,3,1,1,2,4,1,75,3,1,0,18,3,2,0,1,1
bts,3,3,8,3,4.5,5,1,3,1,3,3,1,2,500,4,3,0,18,7,2,0,1,1
bts,1,3,4,3,1,3,1,3,2,3,2,3,1,150,3,1,2,18,1,2,0,1,1
bts,3,3,1.5,3,1,10,1,3,3,1,1,4,1,50,4,1,2,18,6,2,0,1,1
"bts,exo,blackpink,monsta x",1,3,3.5,3,1,5,1,3,2,3,1,4,2,75,2,1,0,24,1,2,0,4,1
"bts,monsta x,ikon,nct,ateez",3,3,1.5,3,1,3,1,3,3,1,2,1,0,50,2,1,2,24,1,2,0,5,1
bts,1,3,3.5,3,2.5,3,1,3,1,3,2,1,1,75,2,3,0,18,1,2,0,1,1
bts,3,3,1.5,3,1,5,1,3,1,3,3,4,1,50,3,3,0,18,6,2,0,1,1
stray kids,1,3,3.5,3,2.5,5,1,3,1,3,1,4,2,0,2,3,1,18,1,2,0,1,0
bts,3,3,1.5,3,1,5,1,3,1,3,2,1,1,0,3,2,0,18,1,2,0,1,1
"bts,blackpink,stray kids,got7",3,3,1.5,3,1,10,1,3,1,3,2,1,2,500,3,1,0,18,1,2,0,4,1
"bts,exo,blackpink,monsta x",3,3,3.5,3,2.5,5,1,3,1,3,2,3,2,50,2,1,1,18,1,2,0,4,1
got7,3,3,1.5,3,3.5,5,1,3,2,3,3,3,0,500,2,1,2,18,1,2,0,1,0
bts,2,3,1,3,1,.5,1,3,1,3,1,3,1,0,2,3,1,18,6,2,0,1,1
"bts,exo,stray kids",3,3,4,3,4.5,5,1,3,1,3,3,4,1,500,3,3,2,12,3,1,0,3,1
bts,3,3,3.5,3,2.5,5,1,3,2,3,2,3,1,50,2,3,2,18,1,2,0,1,1
vixx,3,3,4,3,2.5,5,1,3,2,3,2,0,2,75,4,1,2,18,1,2,0,1,0
bts,1,3,1,3,1,3,1,3,1,3,2,0,1,50,1,2,0,29,8,1,0,1,1
(g)i-dle,4,3,1.5,3,2.5,5,1,3,1,3,2,4,2,50,3,3,0,18,1,2,0,1,0
bts,1,3,3.5,3,2.5,3,1,3,2,3,1,3,1,75,2,3,1,18,1,2,0,1,1
seventeen,3,3,1.5,3,1,3,1,3,1,3,2,3,1,75,4,1,2,18,1,2,0,1,0
"exo,monsta x",3,3,4,3,1,3,1,3,1,3,2,3,1,0,2,2,0,18,1,2,0,2,0
"bts,got7,twice",1,3,3.5,3,2.5,3,1,3,1,3,1,3,0,0,4,2,0,24,1,unemployed,0,3,1
bts,2,3,3.5,3,3.5,3,1,3,1,3,1,0,0,30,3,3,0,18,5,2,0,1,1
bts,3,3,3.5,3,2.5,10,1,3,1,3,2,1,2,75,2,3,0,18,1,2,0,1,1
bts,3,3,4,3,1,5,1,3,1,3,1,4,1,0,3,3,2,18,1,2,0,1,1
bts,4,3,4,3,1,3,1,3,1,3,2,4,1,75,2,3,2,18,2,2,0,1,1
bts,3,3,3.5,3,1,5,1,3,2,3,3,4,2,150,4,1,2,18,1,2,0,1,1
bts,3,3,1.5,3,1,3,1,3,2,1,2,0,1,75,3,3,0,18,2,2,0,1,1
bts,3,3,3.5,3,2.5,3,1,3,3,3,2,1,1,10,2,3,0,29,7,1,0,1,1
bts,3,3,1.5,3,2.5,3,0,3,2,1,2,0,0,75,1,3,0,24,1,1,2,1,1
bts,4,3,3.5,3,2.5,3,1,3,1,3,2,3,1,0,3,3,0,18,2,2,0,1,1
bts,1,3,1.5,3,1,5,1,3,3,3,2,3,1,75,3,3,1,18,1,2,1,1,1
bts,3,3,3.5,3,1,.5,1,3,1,1,2,1,1,50,2,3,0,24,4,2,1,1,1
bts,1,3,4,3,1,5,1,3,2,1,1,1,1,75,2,1,2,18,1,2,0,1,1
infinite,3,3,4,3,1,5,1,3,1,3,2,3,1,150,2,3,2,24,3,2,0,1,0
blackpink,3,3,1.5,3,2.5,3,1,3,2,1,2,3,1,50,2,1,1,12,1,2,0,1,0
got7,3,3,1.5,3,2.5,5,1,3,1,1,2,4,2,50,1,2,0,24,1,1,0,1,0
bts,3,3,4,3,1,3,1,3,1,3,2,0,2,50,1,1,2,24,1,1,0,1,1
bts,1,3,3.5,3,1,5,1,3,2,3,1,3,2,75,3,1,0,24,8,2,0,1,1
"bts,monsta x",1,3,3.5,3,1,5,1,3,3,3,3,4,0,500,4,1,0,12,3,2,0,2,1
bts,3,3,3.5,3,2.5,3,1,3,2,3,2,1,1,75,2,3,0,18,1,2,0,1,1
bts,3,3,3.5,3,1,3,1,3,1,3,1,4,1,50,3,1,2,18,2,2,0,1,1
blackpink,3,3,3.5,3,1,10,1,3,1,1,2,4,0,50,4,1,2,24,1,1,2,1,0
"bts,nct",1,3,3.5,3,2.5,3,1,3,2,3,2,3,2,50,2,1,2,18,1,2,0,2,1
monsta x,3,3,4,3,2.5,10,1,3,3,3,1,3,0,500,4,1,2,18,3,2,0,1,0
twice,1,3,4,3,1,3,1,3,1,3,2,1,2,0,2,2,0,18,1,2,0,1,0
bts,3,3,3.5,3,2.5,5,1,3,1,3,1,1,0,150,1,3,2,24,1,1,0,1,1
seventeen,3,3,1.5,3,1,3,1,3,3,3,3,3,2,50,4,3,1,12,1,2,0,1,0
ikon,3,3,3.5,3,1,5,1,3,2,1,2,4,1,0,2,3,0,24,1,1,0,1,0
"bts,exo,monsta x,nuest,shinee,sf9,mvp,seventeen,super junior,teen top,up10tion,got7,big bang,alphabat,uniq,ikon,ukiss,speed,history,bap,ss501,vixx,samuel,monsta x,btob,2ne1,blockb,day6,f(x),girls generation,jbj,vav,24k,cross gene,stray kids,nct,pentagon",3,3,3.5,3,4.5,5,1,3,1,3,1,4,2,50,1,1,2,24,1,2,0,37,1
bts,3,3,3.5,3,2.5,5,1,3,1,3,2,3,1,0,3,2,0,18,1,2,0,1,1
bts,3,3,3.5,3,2.5,3,1,3,2,1,2,1,2,0,4,3,1,12,1,2,0,1,1
"bts,exo,blackpink,monsta x,too many to choose just one",4,3,1.5,3,1,3,1,3,1,2,2,0,1,0,3,3,1,18,8,2,0,5,1
"both exo,bts",4,3,1.5,3,2.5,3,1,3,3,1,2,4,1,75,3,2,1,18,1,2,0,2,1
brown eyed girls,3,3,9,3,1,3,1,3,3,3,2,0,0,500,1,2,2,24,1,1,1,1,0
"bts,exo,monsta x,nct",3,3,1.5,3,2.5,5,1,3,2,3,2,1,1,50,2,1,0,18,1,2,0,4,1
exo,4,3,3.5,3,3.5,3,1,3,1,3,1,1,1,0,4,3,0,18,8,2,0,1,0
got7,3,3,1.5,3,1,.5,1,3,1,3,2,1,2,75,3,1,1,18,1,2,0,1,0
bts,3,3,1.5,3,1,3,1,3,1,3,2,3,1,50,3,2,0,18,1,2,0,1,1
"bts,exo,nct",1,3,4,3,4.5,3,1,3,1,3,2,3,1,75,3,1,1,12,1,2,0,3,1
"bts,exo,blackpink,monsta x,shinee,a.c.e",3,3,4,3,2.5,10,1,3,1,3,2,1,1,150,1,1,0,18,3,2,0,6,1
blackpink,3,3,3.5,3,1,3,1,3,3,1,1,3,1,50,4,3,0,18,1,2,0,1,0
bts,3,3,3.5,3,1,3,1,3,1,3,2,3,1,75,2,3,0,18,3,2,0,1,1
"bts,exo",1,3,1.5,3,1,3,1,3,1,3,2,0,2,50,3,3,0,18,1,2,0,2,1
"seventeen,stray kids",3,3,3.5,3,1,5,1,3,2,3,1,4,2,50,3,3,0,18,1,2,0,2,0
bts,1,3,1.5,3,1,3,1,3,2,3,1,3,1,50,3,3,1,18,1,2,0,1,1
"bts,exo,monsta x",3,3,4,3,1,10,1,3,1,3,2,3,1,75,2,3,0,18,1,2,2,3,1
"bts,exo,blackpink,monsta x,got7",3,3,3.5,3,1,5,1,3,1,3,2,1,1,75,2,1,0,18,1,2,0,5,1
"bts,exo,monsta x",3,3,4,3,2.5,5,1,3,1,3,1,3,0,0,3,3,1,18,1,2,1,3,1
seventeen,3,3,1.5,3,1,5,1,3,1,3,1,1,2,150,3,1,2,18,7,2,0,1,0
"bts,exo,monsta x",1,3,3.5,3,1,3,1,3,1,2,2,0,1,0,4,2,0,18,1,2,0,3,1
bts,3,3,1.5,3,1,3,1,3,3,3,1,3,1,50,2,1,1,18,3,2,0,1,1
bts,3,3,1,3,2.5,10,1,3,2,3,2,1,2,75,3,3,2,12,8,2,0,1,1
bts,1,3,1.5,3,2.5,5,1,3,3,3,2,0,2,0,3,2,2,18,2,2,0,1,1
"monsta x,nct,got7",3,3,1.5,3,1,5,1,3,1,3,1,0,1,50,3,3,0,12,1,2,0,3,0
got7,3,3,3.5,3,3.5,5,1,3,2,1,1,1,1,0,2,3,0,18,1,2,0,1,0
nct,3,3,3.5,3,1,3,1,3,3,3,1,4,2,150,2,1,2,18,1,2,0,1,0
"bts,exo,monsta x,shinee,red velvet,mamamoo,twice,ect.",3,3,6,3,3.5,10,1,3,1,3,1,0,1,50,3,2,0,18,1,1,0,8,1
astro,3,3,1.5,3,4.5,5,1,3,1,3,1,1,1,50,1,3,2,18,1,2,0,1,0
bts,3,3,1.5,3,3.5,5,1,3,2,3,1,3,1,0,2,3,0,18,3,2,0,1,1
nct,2,3,4,3,3.5,5,1,3,1,3,2,1,1,0,2,3,0,18,8,2,0,1,0
bts,3,3,1.5,3,2.5,5,1,3,1,3,1,4,2,150,3,1,2,12,1,2,0,1,1
astro,4,3,1.5,3,2.5,5,1,3,3,3,2,3,1,50,3,3,1,24,7,2,0,1,0
"seventeen,twice",3,3,3.5,3,2.5,.5,1,3,1,3,1,3,0,150,1,1,2,24,1,1,0,2,0
bts,3,3,4,3,1,3,1,3,1,1,2,0,0,0,4,3,0,18,3,2,0,1,1
exo,3,3,4,3,2.5,5,1,3,3,1,1,3,1,150,2,3,1,18,1,2,0,1,0
bts,2,3,1.5,3,2.5,3,1,3,1,1,1,4,1,50,3,1,1,24,4,2,0,1,1
"bts,exo,blackpink,monsta x,kard,big bang,exid,got7,ikon,itzy,iz*one,myteen,nct 127,pristin v,red velet,stray kids,triple h,twice,wanna one,winner",1,3,3.5,3,1,10,1,3,1,3,1,4,0,0,3,2,0,12,1,2,0,20,1
"bts,exo,blackpink,monsta x",1,3,4,3,1,5,1,3,1,3,2,0,1,50,3,3,0,18,1,unemployed,0,4,1
"bts,exo,monsta x",3,3,1.5,3,2.5,5,1,3,2,3,3,1,0,50,3,3,2,18,1,2,0,3,1
ateez,1,3,4,3,2.5,5,1,3,1,1,1,3,2,50,3,3,0,18,1,2,0,1,0
bts,1,3,3.5,3,2.5,3,1,3,1,3,2,4,1,75,2,2,0,18,1,2,0,1,1
bts,3,3,4,3,1,3,1,3,1,3,2,4,2,50,3,2,0,18,2,1,0,1,1
stray kids,4,3,1.5,3,1,3,1,3,2,3,2,1,2,75,3,3,0,18,5,2,0,1,0
monsta x,3,3,3.5,3,1,3,1,3,3,3,2,1,2,75,2,1,2,24,6,2,0,1,0
"bts,exo,nct,day6,ateez",3,3,3.5,3,2.5,5,1,3,1,3,1,3,0,50,2,1,2,18,6,2,0,5,1
"blackpink,monsta x",1,3,4,3,2.5,3,1,3,2,3,2,0,2,50,3,2,0,18,8,2,0,2,0
exo,1,3,3.5,3,2.5,5,1,3,3,3,1,0,1,50,3,3,0,18,5,2,0,1,0
bts,3,3,1.5,3,3.5,5,1,3,1,3,2,1,1,75,3,1,0,18,2,2,0,1,1
multiple,3,3,4,3,4.5,5,1,3,1,3,2,1,1,50,3,1,2,12,2,2,0,1,0
bts,3,3,3.5,3,2.5,5,1,3,2,3,2,0,2,0,4,2,0,18,6,2,0,1,1
"bts,exo,monsta x,svt,got7,ateez,nct.",3,3,1.5,3,4.5,5,1,3,3,3,2,1,2,75,3,3,0,18,1,2,0,7,1
bts,1,3,3.5,3,1,.5,1,3,1,3,2,0,0,50,3,2,0,18,8,2,0,1,1
"bts,blackpink,astro,bigbang",2,3,4,3,2.5,3,1,3,1,3,2,1,1,75,2,3,1,18,8,1,0,4,1
bts,1,3,1.5,3,4.5,3,1,3,1,1,1,1,1,50,3,3,2,12,1,2,0,1,1
bts,3,3,1.5,3,1,5,1,3,1,3,1,3,1,50,2,3,2,18,8,2,0,1,1
bts,2,3,1.5,3,3.5,3,1,3,1,1,2,3,1,150,2,3,0,18,6,2,0,1,1
bts,1,3,4,3,1,3,1,3,3,3,2,1,2,50,2,2,0,18,2,2,0,1,1
"bts,the black skirts",3,3,3.5,3,1,3,1,3,2,3,2,1,1,0,2,3,0,18,2,2,0,2,1
bts,3,3,4,3,2.5,3,1,3,3,2,2,1,2,150,1,3,0,18,1,2,0,1,1
"bts,exo,blackpink",3,3,4,3,4.5,5,1,3,1,3,2,1,1,75,2,3,1,18,1,2,0,3,1
monsta x,3,3,3.5,3,1,3,1,3,2,3,1,3,1,0,4,2,0,18,2,2,0,1,0
bts,3,3,3.5,3,1,3,1,3,3,3,2,3,1,0,3,3,0,12,1,2,0,1,1
"bts,exo,blackpink,monsta x",3,3,1.5,3,1,3,1,3,1,3,1,3,1,75,3,3,1,18,1,2,0,4,1
bts,3,3,1.5,3,2.5,3,1,3,1,3,2,1,0,0,4,3,0,18,6,2,0,1,1
stray kids,3,3,4,3,1,.5,1,3,3,3,2,3,1,50,3,1,2,18,1,2,0,1,0
"bts,exo,monsta x,straykids,mamamoo",4,3,3.5,3,2.5,5,1,3,2,3,2,1,1,150,2,3,1,18,5,2,0,5,1
bts,4,3,1.5,3,2.5,3,1,3,1,3,2,0,1,75,3,3,0,12,2,2,0,1,1
"bts,monsta x",3,3,3.5,3,1,3,1,3,3,3,1,1,1,50,3,3,2,18,1,2,0,2,1
bts,3,3,3.5,3,3.5,5,1,3,1,3,2,1,1,0,3,3,2,12,8,2,0,1,1
bts,4,3,3.5,3,1,3,1,3,1,3,1,3,1,0,3,3,0,18,6,2,0,1,1
bts,3,3,4,3,2.5,5,1,3,1,1,3,4,1,50,3,3,1,18,2,2,0,1,1
"bts,seventeen,twice",1,3,4,3,1,5,1,3,1,3,1,3,0,50,4,3,0,18,1,2,0,3,1
stray kids,3,3,14,3,2.5,5,1,3,1,3,2,1,1,50,3,3,1,18,1,2,0,1,0
bts,3,3,4,3,1,3,1,3,1,3,2,3,1,50,2,2,0,24,1,1,0,1,1
bts,1,3,1.5,3,1,.5,1,3,3,1,2,3,2,0,3,3,0,18,1,2,0,1,1
"bts,blackpink",3,3,3.5,3,2.5,3,1,3,1,3,2,3,2,0,2,3,0,18,7,2,0,2,1
blackpink,1,3,4,3,2.5,3,0,3,1,3,2,0,0,0,4,3,0,12,1,2,0,1,0
stray kids,3,3,3.5,3,1,3,1,3,1,3,2,1,1,0,1,3,0,18,1,2,0,1,0
bts,3,3,1.5,3,4.5,5,1,3,1,3,2,1,1,50,4,1,0,12,1,2,0,1,1
bts,1,3,3.5,3,1,3,1,3,1,3,1,3,2,50,4,1,2,18,1,2,0,1,1
"vixx,super junior",1,3,3.5,3,1,3,1,3,3,1,2,3,1,50,2,2,0,24,1,2,0,2,0
"bts,exo,blackpink,day6,infinite",3,3,9,3,2.5,5,1,3,1,3,2,1,1,75,2,3,0,24,3,1,0,5,1
"exo,blackpink,monsta x,ikon,day6",3,3,1.5,3,4.5,5,1,3,3,3,2,0,0,50,4,3,0,18,1,2,0,5,0
monsta x,3,3,1.5,3,1,3,1,3,1,3,2,1,2,50,3,3,0,18,2,2,0,1,0
"b.a.p,stray kids,mamamoo",3,3,3.5,3,2.5,3,1,3,1,3,1,1,2,0,3,3,1,18,6,2,0,3,0
bts,3,3,4,3,1,5,1,3,1,3,2,4,1,50,3,3,0,12,1,2,0,1,1
bts,3,3,4,3,1,3,1,3,1,3,1,4,2,500,4,3,1,18,1,2,0,1,1
"bts,seventeen,stray kids",1,3,3.5,3,1,5,1,3,1,3,1,4,1,75,3,1,0,18,3,2,0,3,1
"bts,exo,blackpink,monsta x,too many to count",3,3,4,3,1,5,1,3,3,3,2,3,0,75,3,1,0,18,1,2,0,5,1
bts,1,3,3.5,3,2.5,5,1,3,2,1,1,1,1,50,3,3,0,18,1,2,0,1,1
bts,1,3,3.5,3,2.5,5,1,3,2,1,1,1,1,50,3,3,0,18,1,2,0,1,1
red velvet,3,3,1.5,3,3.5,5,1,3,1,3,1,1,2,150,4,1,0,18,2,2,0,1,0
ikon,1,3,3.5,3,2.5,3,1,3,1,3,2,3,2,50,2,1,2,18,1,2,0,1,0
stray kids,3,3,1.5,3,2.5,5,1,3,1,3,2,1,2,50,3,1,2,12,2,2,0,1,0
shinee,3,3,4,3,2.5,3,1,3,2,3,2,0,1,50,4,3,0,18,1,2,0,1,0
bts,3,3,3.5,3,1,5,1,3,1,3,1,1,1,150,2,1,0,18,1,2,0,1,1
"bts,got7",1,3,4,3,2.5,3,1,3,2,1,2,1,0,50,1,3,0,24,7,1,0,2,1
"exo,monsta x,shinee,tvxq,btob",1,3,7,3,2.5,10,1,3,1,3,1,4,0,500,3,1,2,18,1,2,0,5,0
bts,3,3,4,3,2.5,3,1,3,1,3,2,1,1,50,4,3,1,24,1,2,0,1,1
bts,1,3,1,3,2.5,3,1,3,3,3,2,3,1,150,1,3,0,24,1,1,0,1,1
bts,1,3,4,3,1,3,1,3,1,3,2,3,2,75,2,3,0,18,1,2,0,1,1
monsta x,3,3,3.5,3,1,5,1,3,1,3,1,4,2,50,2,3,2,18,8,2,0,1,0
exo,3,3,3.5,3,1,3,1,3,1,3,2,0,2,50,4,2,0,12,1,2,0,1,0
exo,3,3,4,3,1,5,1,3,3,3,2,1,1,50,1,1,0,24,1,2,0,1,0
"bts,exo,blackpink,monsta x,i'm open to enjoying a wide variety of kpop artists because of their individuality",3,3,1,3,3.5,3,1,3,1,3,2,4,1,0,3,3,0,18,8,2,0,5,1
bts,1,3,1.5,3,2.5,3,1,3,1,3,2,3,2,50,3,2,0,12,1,2,0,1,1
"treasure 13,stray kids,nct",3,3,3.5,3,1,3,1,3,2,1,1,1,2,150,3,3,1,18,6,2,0,3,0
bts,1,3,1.5,3,1,3,1,3,1,3,2,3,1,75,3,1,0,18,1,2,0,1,1
bts,1,3,4,3,1,5,1,3,3,3,1,3,2,75,4,2,1,24,1,2,0,1,1
monsta x,3,3,3.5,3,3.5,5,1,3,1,3,2,3,1,0,4,3,0,18,7,2,0,1,0
bts,1,3,4,3,2.5,3,0,3,3,2,2,4,2,500,2,1,2,18,1,2,0,1,1
"bts,got 7",4,3,1,3,2.5,5,1,3,1,3,1,3,1,0,3,2,2,12,1,2,0,2,1
bts,1,3,4,3,2.5,3,1,3,1,3,2,3,2,50,3,1,0,18,8,2,0,1,1
vixx,3,3,3.5,3,1,3,1,3,2,3,2,0,1,75,2,3,0,18,6,2,0,1,0
